"district","hour","act1","act2","act3","act4","act5"
"007","7am",9077.761,1214.5417,1071.5967,0,0
"008","7am",12402.856,1431.9357,122.7253,0,400.8949
"009","7am",11911.297,618.0542,1186.1211,0,0
"010","7am",10706.132,672.3227,0,0,297.7185
"011","7am",13952.791,1171.995,303.1602,78.6599,681.9572
"012","7am",4454.192,310.1142,134.2655,0,75.7502
"013","7am",13719.215,2113.1955,831.3673,58.2641,260.6512
"014","7am",4520.611,591.9824,273.9557,0,96.7861
"015","7am",11235.614,699.2587,0,0,30.4317
"016","7am",11414.143,1945.2611,3311.5908,0,325.3546
"017","7am",3651.818,2336.4016,284.4572,0,23.9264
"018","7am",4175.805,2996.8226,0,0,122.5162
"019","7am",8351.348,989.7366,30.4359,0,379.8903
"020","7am",13446.532,1136.8424,1453.3262,106.8032,178.9479
"021","7am",8482.235,2371.04,865.7141,0,144.0544
"022","7am",10429.272,512.1895,0,0,59.8107
"023","7am",12006.547,6340.6403,664.8834,0,150.4304
"024","7am",11962.369,2565.8127,9979.8634,0,230.8889
"025","7am",4146.835,5017.7913,0,0,88.3841
"026","7am",5022.647,670.6929,53.0817,0,34.1692
"027","7am",8071.615,1589.1108,94.7063,157.1172,192.3014
"028","7am",8060.987,4461.2588,1843.5635,88.0136,0
"029","7am",7908.382,8761.1563,391.8862,0,64.4811
"030","7am",12028.074,9492.4025,1530.9128,0,282.717
"031","7am",7735.062,887.8583,58.3404,0,0
"032","7am",7991.152,2755.8183,841.9606,0,93.4565
"033","7am",6221.694,758.4548,1308.3376,0,44.0683
"034","7am",7810.005,1221.6487,60.9392,0,150.6942
"035","7am",8107.825,1863.6635,1705.0002,0,0
"036","7am",12758.888,872.2259,206.0584,0,156.2705
"037","7am",7648.368,2909.2847,1152.393,0,80.8624
"038","7am",11556.195,4540.1286,299.6249,0,62.0332
"039","7am",5003.832,958.9752,0,0,73.9593
"040","7am",8276.836,1021.5102,56.5957,74.9632,0
"041","7am",10650.757,2577.9053,0,0,0
"042","7am",5679.565,1640.8736,49.7859,0,0
"043","7am",8904.876,1030.8162,0,0,57.9552
"044","7am",5965.838,603.2904,0,45.9015,219.9694
"045","7am",6846.855,717.2792,86.6442,70.0353,164.1266
"046","7am",5900.436,2980.8195,513.9167,0,0
"047","7am",7883.595,1213.1804,1515.6689,138.2453,138.35
"048","7am",4719.808,277.1311,0,0,0
"049","7am",7787.275,3158.0614,0,0,42.1968
"050","7am",12662.568,1111.4263,0,0,256.3926
"051","7am",11423.164,965.9878,0,0,0
"052","7am",9071.414,1273.3186,0,0,151.1291
"053","7am",8961.181,863.6456,403.6081,0,0
"054","7am",14513.138,3008.8128,766.5745,0,36.2673
"055","7am",8945.035,240.7686,0,108.7437,135.9174
"056","7am",6152.293,800.693,23.9264,0,126.6976
"057","7am",8236.368,845.4201,0,0,0
"058","7am",6083.494,299.7771,0,0,0
"059","7am",8034.691,694.4882,0,0,145.3454
"060","7am",7749.506,265.9626,0,0,212.7284
"061","7am",10751.53,727.1128,0,0,0
"062","7am",11480.572,1448.287,659.8,0,0
"063","7am",3430.642,55.8021,0,0,0
"064","7am",11422.716,1079.7125,124.8374,0,77.5584
"065","7am",7605.91,1198.7816,0,0,115.5553
"066","7am",9593.589,2528.2852,0,0,0
"001","8am",5172.457,3805.9446,1485.8134,40.8357,415.2813
"002","8am",9750.835,9429.0793,10262.0389,654.4156,444.7387
"003","8am",10271.65,8059.3342,1754.8765,157.9308,902.5488
"004","8am",7498.098,6992.703,1797.1082,98.7965,502.6903
"005","8am",8255.726,3445.1733,941.6706,144.9227,340.1436
"006","8am",7924.904,6570.884,547.1405,178.352,533.3323
"007","8am",6779.604,2531.6856,1838.2459,70.0353,263.3871
"008","8am",9260.528,3423.3524,239.3041,0,318.8181
"009","8am",8357.886,2308.0771,2044.283,0,99.6643
"010","8am",8089.901,1898.652,43.2907,0,278.2246
"011","8am",10449.362,2229.5171,454.5185,0,658.2634
"012","8am",3849.767,743.797,193.0382,0,245.7417
"013","8am",10224.78,4506.2185,1797.1588,64.651,654.6315
"014","8am",3423.082,1321.6763,360.4977,180.5134,134.4471
"015","8am",9102.852,1546.5259,0,163.5203,381.2867
"016","8am",6777.996,2479.1302,4119.8916,0,506.4668
"017","8am",2608.338,4247.6359,1157.6947,311.5226,277.9653
"018","8am",2751.093,4425.7998,0,224.4773,166.5845
"019","8am",6707.487,1634.9332,570.1281,0,469.3815
